chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,rms,zero_crossing_rate,target
0.422268,3128.866188771927,2488.978121640856,6444.661458333333,-0.861402,0.10616602,0.14190538194444444,ok
0.7756428,2149.7904033769405,4804.052364879307,4145.166582076567,4.973196,0.20391919,0.008971459904292343,ok
0.21688235,4079.2616068904445,1923.9037898724885,5522.732204861111,-1.9020795,0.21896985,0.41434280960648145,ok
0.5865851,1776.090845012574,1401.822826418285,3111.2260960820895,-1.0782132,0.20265144,0.13231328708022388,ok
0.5077032,1058.3175414345694,1466.3428784313483,2241.452205882353,-13.465393,0.019638743,0.04293428308823529,ok
0.4914871,2559.5568972430765,1819.7553715144968,4579.58984375,0.80996567,0.19205542,0.20361328125,ok
0.27073202,1971.702193589461,1646.2744808688176,3385.149129231771,-32.604115,0.003524087,0.06368114330150464,ok
0.08889203,865.686462967863,346.58635389852566,1167.0232882165606,-27.550415,0.0466054,0.0476867287022293,ok
0.74811256,1050.872368664425,1767.5361656836897,2578.9958200636943,9.388211,0.41732156,0.018277891122611464,ok
0.49939573,2568.782641442002,2588.8735849391896,3986.2905126160094,-4.436256,0.040799737,0.09407401029582367,ok
0.7266689,4016.0878342115234,4518.624856070998,9867.652783316415,-1.9494592,0.051753934,0.06428092372389792,ok
0.55764455,1828.6500580151014,1230.912603088914,3040.6548566878982,-3.0525055,0.18273872,0.144836037022293,ok
0.5044309,1413.0322722492458,2698.5647175758095,2143.128262761021,1.5658672,0.09147552,0.02192847302784223,ok
0.4568951,3051.5421298744486,2690.957368370369,5795.129536144142,-14.872214,0.014383742,0.10427353719547564,ok
0.5342457,1377.282481962247,1578.1339927584334,2774.7550843253966,11.056662,0.4817968,0.07006060887896826,ok
0.5400259,3773.051925734906,1749.6270191904898,5852.470640923567,-12.359122,0.043052405,0.37109686007165604,ok
0.49939573,2568.782641442002,2588.8735849391896,3986.2905126160094,-4.436256,0.040799737,0.09407401029582367,ok
0.62591267,2960.531884840387,4417.818786356485,7989.166471203811,-12.950242,0.005160794,0.03385040776558892,ok
0.49437633,2086.731810912535,1797.0221348158047,4036.313196656051,-1.8207532,0.1055016,0.14892578125,ok
0.6223896,2731.9470447502167,2866.2009584222465,6312.276138341067,-1.4228764,0.042541575,0.06647535709106729,ok
0.75970197,1439.6193433021879,3891.658122631638,1725.8537558004641,1.4945077,0.14261347,0.005231746664733179,ok
0.5509065,3387.3244549894553,2254.3390466655223,6065.56056701031,-21.72344,0.008130232,0.30313204735824745,ok
0.49090296,2954.1510316561125,2128.1232708501348,5362.388392857143,-23.265387,0.0045013246,0.21095842633928572,ok
0.31737062,781.429512309928,955.133050935094,1363.28125,-1.8604594,0.257625,0.03411458333333333,ok
0.62591267,2960.531884840387,4417.818786356485,7989.166471203811,-12.950242,0.005160794,0.03385040776558892,ok
0.58099896,1208.971880326351,1734.0254631204045,2860.6439092356686,9.493948,0.36629832,0.03561654060509554,ok
0.5893228,1397.4327122582492,2295.984104170469,2609.264655234919,-1.1253644,0.046852376,0.02648274361948956,ok
0.4267168,990.4099125251079,1448.7996209516016,2044.8099124203823,5.2793193,0.15688431,0.03805483678343949,ok
0.44738287,3041.2962943719626,2738.1538734803794,5000.849110897621,-1.0912434,0.06547875,0.09885259570765662,ok
0.62591267,2960.531884840387,4417.818786356485,7989.166471203811,-12.950242,0.005160794,0.03385040776558892,ok
